n;CORIS_Year;Text_genre;Text_genre_specific;Type;Cxn;Lemma_Base;Orthography;Syllables;SyllLength;MorphCat;Pos;Function;SemClass;ScalePoint_Base;Approximation_Output;Approximation_Output2;Occurrence
semi_291;MONITOR2001_04;MISC;MISC;semiabbandonata ;semi;abbandonato;bonded;ab-ban-do-na-to;5;conv_Vpart;participle_adj;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                         cosa pià¹ culturale della zona à¨ la tabaccheria , e in una posizione che la libreria si vede solo passando per una stradina < semiabbandonata > vicino_al mercato ortofrutticolo . Insomma , una libreria che ha appena aperto e che già  puzza di morte . Sulla vetrina                              
mezzo_55;CORIS1980_2000;NARRAT;NARRATTrRomanzi;mezzo abbandonare ;mezzo;abbandonato;debonded;ab-ban-do-na-to;5;conv_Vpart;participle_adj;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                          le vestigia di una rocca , quando questi prese a parlare dei domini che aveva visitato e , in particolare , di un dominio < mezzo abbandonato > nei_pressi_di Vieux - Nanay : il dominio delle Sablonnieres . Con quel suo accento dell ' Allier che pomposamente                                    
mezzo_129;MONITOR2005_07;NARRAT;NARRAT;mezzo abbassare ;mezzo;abbassato;debonded;ab-bas-sa-to;4;conv_Vpart;participle_adj;attributive/appositive;spatial;mimimum_standard;Attenuation;Attenuation;                             casa , come due autostoppisti cui una coppia di freak giovani abbia offerto un passaggio . Puoi seguire dal finestrino < mezzo abbassato > la fuga di facciate e vetrine piene di merci , sentirti felice perchà© dalle casse dello stereo di bordo esce limpido ,                               
mezzo_293;MONITOR2001_04;NARRAT;NARRAT;mezzo abbattere ;mezzo;abbattuto;debonded;ab-bat-tu-to;4;conv_Vpart;participle_adj;attributive/appositive;relational;maximum_standard;Attenuation;Attenuation_Extension;                     si frappone fra lei e l ' inevitabile . Ora , veniamo al sodo . Io cosà¬ per questa notte non ci posso stare . Con quel recinto < mezzo abbattuto > ? Ma vi immaginate .. e se entrano i ladri ? Dove lo vogliamo buttare il vostro bel capitale ? Lo diamo in pasto al primo che                        
semi_61;MONITOR2017_20;NARRAT;NARRAT;semi - abitabile ;semi;abitabile;hyphened;a-bi-ta-bi-le;5;suff_V;adjective;attributive/appositive;relational;non-scalar;KinCategorization;KinCategorization;                                informale e una tazza di tà¨ - era rimasta colpita dalla luce . Le due camere da letto ampie , il salone , la cucina < semi - abitabile > e i due balconcini le erano apparsi dettagli . La proprietaria le aveva confidato di voler incassare                                                 
semi_188;CORIS1980_2000;NARRAT;NARRATTrRomanzi;semi - accecare ;semi;accecato;hyphened;ac-ce-ca-to;4;conv_Vpart;participle_adj;predicative;body;maximum_standard;Proximative;Proximative;                            e si mise a correre alla massima velocità  di cui era capace balzando senza esitare da una carrozza all ' altra , benchà© < semi - accecato > dal fumo soffiato verso_di lui dalla ciminiera della locomotiva . Riuscà¬ , chissà  come , a raggiungere la vettura di                                 
semi_265;CORIS1980_2000;STAMPA;STAMPAQuotidiani;semiaccecati ;semi;accecato;bonded;ac-ce-ca-to;4;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;                         a trattenere , sono l ' alone e l ' abbaglio , un fiotto di raggi che nei momenti di maggiore intensità  costringe i fedeli < semiaccecati > a ripararsi gli occhi con le mani a visiera . La mattina dopo stavo con Canzoneri nella navata centrale . Fuori c ' era un                           
mezzo_124;MONITOR2011_13;NARRAT;NARRAT;mezzo accecare ;mezzo;accecato;debonded;ac-ce-ca-to;4;conv_Vpart;participle_adj;predicative_secundary;body;maximum_standard;Mitigation/Downtoner;Mitigation/Downtoner;"                      e si scontrà² con le sbarre di metallo della prima cella senza riuscire a fermarsi per tempo . àƒÂ‚ Â« Maledizione ! àƒÂ‚ Â» gridà² , < mezzo accecato > e assordato , almeno per qualche secondo . Ma Dominic arrivà² dietro_di lui ; il corpo di Jack l ' aveva riparato da gran                             "
mezzo_57;MONITOR2014_16;NARRAT;NARRAT;mezzo acciaccata ;mezzo;acciaccato;debonded;ac-ciac-ca-to;4;conv_Vpart;participle_adj;attributive/appositive;body;mimimum_standard;Attenuation;Attenuation;                               sulle stampelle , chi si sosteneva a un compagno e chi si arrendeva e si lasciava travolgere dalla corrente . Anna , < mezza acciaccata > , si ritrovà² a combattere contro centinaia di braccia , di spalle , di volti terrorizzati , di corpi ammassati uno contro                            
semi_124;CORIS1980_2000;NARRAT;NARRATVaria;semiaccucciata ;semi;accucciato;bonded;ac-cuc-cia-to;4;conv_Vpart;participle_adj;predicative_secundary;spatial;mimimum_standard;Proximative;Proximative;"                        prima a lanciare una moda elegante , la Rolls - Royce con autista negro . Pare ballasse anche male , Â« dimenava i fianchi , < semiaccucciata > , un po ' come una chioccia "" . Col tempo si involgarisce , danza sempre di_meno e si prostituisce sempre di_pià¹ . Per far                           "
semi_141;CORIS1980_2000;NARRAT;NARRATRomanzi;semiaddormentato ;semi;addormentato;bonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;                         presto ripercorreva il tragitto in senso opposto ` ` per non imbrogliare i fili delle strade ' ' , spiegava a Domenico che < semiaddormentato > la vedeva all ' ultimo chiarore della fiamma girare su se stessa all ' infinito al centro della stanza . ` ` Mamma vieni a                           
semi_167;MONITOR2005_07;NARRAT;NARRAT;semiaddormentati ;semi;addormentato;bonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;                       . Sentendo Eco sulla sua pelle , il piacere di un corpo agile , le curve e i boccioli dei piccoli seni , gli occhi tentatori < semiaddormentati > . Pensando a come aveva mostrato il desiderio di fare l ' amore con lui nel cottage di Bedford e di come lui l ' aveva                               
semi_179;CORIS1980_2000;PRACC;PRACCVolumi;semiaddormentato ;semi;addormentato;bonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;predicative;body;maximum_standard;Proximative;Proximative;                          , il rimedio di chi non à¨ mai presente completamente , di chi à¨ sempre un po ' fuori , distante , lento di comprensione , < semiaddormentato > , svogliato . E ' il rimedio del noioso depresso , abulico , assente . LA DIPENDENZA . Dipendenza significa , come tutti                             
semi_185;CORIS1980_2000;NARRAT;NARRATRomanzi;semiaddormentate ;semi;addormentato;bonded;ad-dor-men-ta-to;5;conv_Vpart;participle_adj;attributive/appositive;body;maximum_standard;Proximative;Proximative;                              fondeva di desiderio . Quando tutti si ritiravano io rimanevo a camminare nel castello silenzioso , tra le sentinelle < semiaddormentate > , nella bianca luce lunare . Mi aveva talmente invaso l ' amore per le misteriose regioni lontane che il mio corpo ne era                            
